a
镔铁	长剑	2	15	45	45	10
精铜	长剑	2	15	38	50	10
青金	长剑	2	16	38	40	15
云钢	长剑	5	16	45	45	16
磁母	长剑	12	16	47	48	15
铁精	长剑	12	16	40	55	15
铜精	长剑	12	17	38	40	20
百炼寒铁	长剑	12	17	48	50	23
青云金铁	长剑	20	17	52	53	20
赤日铁	长剑	20	17	45	60	20
墨金	长剑	20	18	43	45	25
寒铜金精	长剑	20	18	53	55	28
b
镔铁	短剑	2	5	40	40	25
精铜	短剑	2	5	36	45	25
青金	短剑	2	6	36	36	30
云钢	短剑	5	6	40	40	32
磁母	短剑	12	6	42	42	30
铁精	短剑	12	6	38	50	30
铜精	短剑	12	7	37	36	35
百炼寒铁	短剑	12	7	44	44	39
青云金铁	短剑	20	7	47	47	35
赤日铁	短剑	20	7	43	55	35
墨金	短剑	20	8	42	41	40
寒铜金精	短剑	20	8	49	49	44
c
镔铁	软剑	2	5	15	15	38
精铜	软剑	2	5	14	18	38
青金	软剑	2	6	14	14	42
云钢	软剑	5	6	15	15	44
磁母	软剑	12	6	17	16	43
铁精	软剑	12	6	16	22	43
铜精	软剑	12	7	15	16	47
百炼寒铁	软剑	12	7	18	17	51
青云金铁	软剑	20	7	22	21	48
赤日铁	软剑	20	7	21	27	48
墨金	软剑	20	8	20	21	52
寒铜金精	软剑	20	8	23	22	56
d
镔铁	重剑	2	40	55	55	10
精铜	重剑	2	40	50	58	10
青金	重剑	2	42	50	50	15
云钢	重剑	5	42	55	55	16
磁母	重剑	12	41	57	57	15
铁精	重剑	12	41	55	65	15
铜精	重剑	12	43	52	53	20
百炼寒铁	重剑	12	43	59	59	23
青云金铁	重剑	20	42	62	62	20
赤日铁	重剑	20	42	60	70	20
墨金	重剑	20	44	57	58	25
寒铜金精	重剑	20	44	64	64	28
e
镔铁	刺剑	5	9	30	52	15
精铜	刺剑	5	9	25	47	15
青金	刺剑	5	11	25	47	15
云钢	刺剑	8	10	28	54	10
磁母	刺剑	13	10	33	54	21
铁精	刺剑	13	10	27	61	20
铜精	刺剑	13	11	26	53	26
百炼寒铁	刺剑	15	11	32	57	24
青云金铁	刺剑	20	12	37	56	30
赤日铁	刺剑	20	12	33	62	30
墨金	刺剑	20	13	33	56	32
寒铜金精	刺剑	20	12	38	58	30
f
镔铁	长刀	2	25	50	50	10
精铜	长刀	2	25	45	55	10
青金	长刀	2	27	45	47	15
云钢	长刀	5	27	50	50	17
磁母	长刀	12	26	52	55	15
铁精	长刀	12	26	47	60	15
铜精	长刀	12	28	48	50	20
百炼寒铁	长刀	12	28	54	56	24
青云金铁	长刀	20	27	57	60	20
赤日铁	长刀	20	27	52	65	20
墨金	长刀	20	29	53	55	25
寒铜金精	长刀	20	29	59	61	29
g
镔铁	大环刀	2	35	55	65	8
精铜	大环刀	2	35	50	69	8
青金	大环刀	2	37	50	58	13
云钢	大环刀	5	37	55	65	14
磁母	大环刀	12	36	57	68	13
铁精	大环刀	12	36	53	72	13
铜精	大环刀	12	38	52	60	18
百炼寒铁	大环刀	12	38	59	72	21
青云金铁	大环刀	20	37	62	73	18
赤日铁	大环刀	20	37	58	77	18
墨金	大环刀	20	39	57	65	23
寒铜金精	大环刀	20	39	64	77	26
h
镔铁	短刀	2	5	50	45	25
精铜	短刀	2	5	45	50	25
青金	短刀	2	7	45	42	30
云钢	短刀	5	7	50	45	32
磁母	短刀	12	6	52	47	30
铁精	短刀	12	6	48	55	30
铜精	短刀	12	8	48	45	35
百炼寒铁	短刀	12	8	55	49	39
青云金铁	短刀	20	7	57	52	35
赤日铁	短刀	20	7	53	60	35
墨金	短刀	20	9	53	50	40
寒铜金精	短刀	20	9	60	54	44
i
镔铁	弯刀	2	10	30	35	38
精铜	弯刀	2	10	25	40	38
青金	弯刀	2	12	25	30	42
云钢	弯刀	5	12	30	35	45
磁母	弯刀	12	11	32	38	43
铁精	弯刀	12	11	30	45	43
铜精	弯刀	12	13	28	35	47
百炼寒铁	弯刀	12	13	34	40	52
青云金铁	弯刀	20	12	37	43	48
赤日铁	弯刀	20	12	35	50	48
墨金	弯刀	20	14	33	40	52
寒铜金精	弯刀	20	14	39	45	57
j
镔铁	双刃斧	2	35	55	65	8
精铜	双刃斧	2	35	50	69	8
青金	双刃斧	2	37	50	58	13
云钢	双刃斧	6	36	52	60	15
磁母	双刃斧	12	39	62	62	16
铁精	双刃斧	12	40	54	64	15
铜精	双刃斧	12	38	51	60	22
百炼寒铁	双刃斧	11	38	58	68	19
青云金铁	双刃斧	20	38	64	66	19
赤日铁	双刃斧	20	38	62	80	19
墨金	双刃斧	20	41	60	65	25
寒铜金精	双刃斧	20	39	65	74	22
k
镔铁	长棍	2	35	45	45	10
精铜	长棍	2	35	38	50	10
青金	长棍	2	37	38	40	15
云钢	长棍	5	37	45	45	17
磁母	长棍	12	36	47	48	15
铁精	长棍	12	36	32	56	15
铜精	长棍	12	38	42	43	20
百炼寒铁	长棍	12	38	49	52	24
青云金铁	长棍	20	37	52	53	20
赤日铁	长棍	20	37	37	61	20
墨金	长棍	20	39	47	48	25
寒铜金精	长棍	20	39	54	57	29
l
镔铁	狼牙棒	2	45	70	35	10
精铜	狼牙棒	2	45	60	44	10
青金	狼牙棒	2	47	60	30	15
云钢	狼牙棒	5	47	70	35	17
磁母	狼牙棒	12	46	72	38	15
铁精	狼牙棒	12	46	63	48	15
铜精	狼牙棒	12	48	65	40	20
百炼寒铁	狼牙棒	12	48	74	40	24
青云金铁	狼牙棒	20	47	77	43	20
赤日铁	狼牙棒	20	47	68	53	20
墨金	狼牙棒	20	49	70	45	25
寒铜金精	狼牙棒	20	49	79	45	29
m
镔铁	三节棍	2	15	30	30	42
精铜	三节棍	2	15	25	35	42
青金	三节棍	2	17	25	25	47
云钢	三节棍	5	17	30	30	49
磁母	三节棍	12	16	32	32	47
铁精	三节棍	12	16	30	40	47
铜精	三节棍	12	18	30	28	52
百炼寒铁	三节棍	12	18	36	35	56
青云金铁	三节棍	20	17	37	37	52
赤日铁	三节棍	20	17	35	45	52
墨金	三节棍	20	19	35	33	57
寒铜金精	三节棍	20	19	41	40	61
n
镔铁	长枪	2	25	55	40	30
精铜	长枪	2	25	48	45	30
青金	长枪	2	27	48	32	35
云钢	长枪	5	27	55	40	38
磁母	长枪	12	26	57	42	35
铁精	长枪	12	26	50	50	35
铜精	长枪	12	28	50	36	40
百炼寒铁	长枪	12	28	60	44	45
青云金铁	长枪	20	27	62	47	40
赤日铁	长枪	20	27	55	55	40
墨金	长枪	20	29	55	41	45
寒铜金精	长枪	20	29	65	49	50
o
镔铁	战戟	4	30	60	40	20
精铜	战戟	4	30	52	50	20
青金	战戟	5	33	50	40	27
云钢	战戟	6	31	55	44	29
磁母	战戟	12	32	60	43	30
铁精	战戟	12	31	53	55	30
铜精	战戟	12	36	51	44	35
百炼寒铁	战戟	12	34	60	45	38
青云金铁	战戟	20	32	70	46	35
赤日铁	战戟	20	32	55	58	35
墨金	战戟	20	36	55	44	40
寒铜金精	战戟	20	36	66	50	46
p
镔铁	长鞭	2	10	25	25	10
精铜	长鞭	2	10	20	30	10
青金	长鞭	2	12	20	22	15
云钢	长鞭	5	12	25	25	17
磁母	长鞭	12	11	27	28	15
铁精	长鞭	12	11	22	35	15
铜精	长鞭	12	13	25	24	20
百炼寒铁	长鞭	12	13	30	32	24
青云金铁	长鞭	20	12	32	33	20
赤日铁	长鞭	20	12	27	40	20
墨金	长鞭	20	14	30	29	25
寒铜金精	长鞭	20	14	35	37	29
q
镔铁	软鞭	2	5	20	50	45
精铜	软鞭	2	5	15	55	45
青金	软鞭	2	7	15	45	50
云钢	软鞭	5	7	20	50	52
磁母	软鞭	12	6	23	52	50
铁精	软鞭	12	6	18	58	50
铜精	软鞭	12	8	17	48	55
百炼寒铁	软鞭	12	8	25	55	59
青云金铁	软鞭	20	7	28	57	55
赤日铁	软鞭	20	7	23	63	55
墨金	软鞭	20	9	22	53	60
寒铜金精	软鞭	20	9	30	60	64
r
镔铁	九节鞭	2	20	50	35	10
精铜	九节鞭	2	20	40	40	10
青金	九节鞭	2	22	40	30	15
云钢	九节鞭	5	22	50	35	18
磁母	九节鞭	12	21	53	37	15
铁精	九节鞭	12	21	43	45	15
铜精	九节鞭	12	23	42	34	20
百炼寒铁	九节鞭	12	23	55	42	25
青云金铁	九节鞭	20	22	58	42	20
赤日铁	九节鞭	20	22	48	50	20
墨金	九节鞭	20	24	47	39	25
寒铜金精	九节鞭	20	24	60	47	30
s
镔铁	杆子鞭	2	15	40	45	36
精铜	杆子鞭	2	15	30	50	36
青金	杆子鞭	2	17	30	40	40
云钢	杆子鞭	5	17	40	45	42
磁母	杆子鞭	12	16	44	48	41
铁精	杆子鞭	12	16	35	53	41
铜精	杆子鞭	12	18	33	43	45
百炼寒铁	杆子鞭	12	18	48	52	49
青云金铁	杆子鞭	20	17	49	53	46
赤日铁	杆子鞭	20	17	40	58	46
墨金	杆子鞭	20	19	38	48	50
寒铜金精	杆子鞭	20	19	53	57	54
t
镔铁	链枷	5	24	45	40	6
精铜	链枷	5	24	39	45	6
青金	链枷	6	26	39	44	9
云钢	链枷	8	25	47	39	12
磁母	链枷	14	27	52	40	14
铁精	链枷	14	27	44	47	14
铜精	链枷	14	30	43	40	18
百炼寒铁	链枷	14	30	55	42	20
青云金铁	链枷	22	29	58	44	18
赤日铁	链枷	22	29	46	52	18
墨金	链枷	22	34	45	42	22
寒铜金精	链枷	22	30	56	49	25
u
镔铁	双环	5	9	45	40	35
精铜	双环	8	9	40	45	35
青金	双环	14	11	42	47	37
云钢	双环	14	10	47	42	39
磁母	双环	20	10	50	48	47
铁精	双环	18	10	47	45	41
铜精	双环	18	11	47	45	43
百炼寒铁	双环	20	11	48	50	45
青云金铁	双环	25	12	65	40	49
赤日铁	双环	25	12	40	65	51
墨金	双环	25	13	52	52	53
寒铜金精	双环	30	12	55	55	55
v
镔铁	对剑	5	11	45	40	35
精铜	对剑	8	13	40	45	35
青金	对剑	14	13	42	47	37
云钢	对剑	14	14	47	42	39
磁母	对剑	18	15	47	45	43
铁精	对剑	20	15	48	50	45
